date, price
2019-01-17,75.55
2019-01-18,75.95
2019-01-21,76.5
2019-01-22,74.05
2019-01-23,73.7
2019-01-24,74.05
2019-01-25,75
2019-01-28,75.15
2019-01-29,74.5
2019-01-30,74.35
2019-02-11,75.15
2019-02-12,75.65
2019-02-13,75.5
2019-02-14,75.25
2019-02-15,75.05
2019-02-18,75.65
2019-02-19,75.5
2019-02-20,76.35
2019-02-21,77.1
2019-02-22,76.95
2019-02-25,77.5
2019-02-26,77.7
2019-02-27,77.65
2019-03-04,76.95
2019-03-05,76.75
2019-03-06,76.95
2019-03-07,76.65
2019-03-08,76
2019-03-11,76.15
2019-03-12,77.25
2019-03-13,77.1
2019-03-14,77.05
2019-03-15,77.6
2019-03-18,78.1
2019-03-19,78.4
2019-03-20,78.5
2019-03-21,79.15
2019-03-22,79.35
2019-03-25,78.15
2019-03-26,78.65
2019-03-27,78.5
2019-03-28,78.5
2019-03-29,79.15
2019-04-01,79.85
2019-04-02,80.15
2019-04-03,80.15
2019-04-08,80.9
2019-04-09,81.4
2019-04-10,81.5
2019-04-11,81.15
2019-04-12,81.1
2019-04-15,81.85
2019-04-16,82.1
2019-04-17,82.75
2019-04-18,82.7
2019-04-19,82.8
2019-04-22,82.7
2019-04-23,83.05
2019-04-24,83.2
2019-04-25,83.4
2019-04-26,82.45
2019-04-29,82.8
2019-04-30,82.8
2019-05-02,83
2019-05-03,83.75
2019-05-06,82.3
2019-05-07,83.15
2019-05-08,82.55
2019-05-09,81.55
2019-05-10,81.5
2019-05-13,80.15
2019-05-14,79.65
2019-05-15,79.75
2019-05-16,79.05
2019-05-17,78.25
2019-05-20,78.2
2019-05-21,78.4
2019-05-22,78.4
2019-05-23,76.95
2019-05-24,77.35
2019-05-27,77.15
2019-05-28,77.1
2019-05-29,76.75
2019-05-30,77.4
2019-05-31,78.45
2019-06-03,78.55
2019-06-04,78.05
2019-06-05,78.3
2019-06-06,77.7
2019-06-10,79.05
2019-06-11,79.4
2019-06-12,79.7
2019-06-13,79.05
2019-06-14,78.9
2019-06-17,78.7
2019-06-18,78.9
2019-06-19,80.75
2019-06-20,80.85
2019-06-21,80.85
2019-06-24,81.2
2019-06-25,80.75
2019-06-26,80.35
2019-06-27,81.5
2019-06-28,80.9
2019-07-01,82.65
2019-07-02,82.45
2019-07-03,81.5
2019-07-04,82
2019-07-05,81.9
2019-07-08,81.6
2019-07-09,81.5
2019-07-10,82.2
2019-07-11,82.85
2019-07-12,82.75
2019-07-15,83.2
2019-07-16,83.35
2019-07-17,82.8
2019-07-18,82.7
2019-07-19,83
2019-07-22,83.4
2019-07-23,83.6
2019-07-24,83.55
2019-07-25,83.8
2019-07-26,83.25
2019-07-29,83.45
2019-07-30,83.2
2019-07-31,82.8
2019-08-01,82.3
2019-08-02,80.95
2019-08-05,80.15
2019-08-06,80.1
2019-08-07,79.7
2019-08-08,80.65
2019-08-12,80.6
2019-08-13,79.7
2019-08-14,80.3
2019-08-15,79.4
2019-08-16,80.35
2019-08-19,80.8
2019-08-20,81
2019-08-21,81.1
2019-08-22,80.9
2019-08-23,81
2019-08-26,79.65
2019-08-27,79.85
2019-08-28,80.4
2019-08-29,80.55
2019-08-30,81.85
2019-09-02,81.9
2019-09-03,81.2
2019-09-04,82.15
2019-09-05,83
2019-09-06,83.5
2019-09-09,83.8
2019-09-10,83.4
2019-09-11,83.45
2019-09-12,83.9
2019-09-16,84.4
2019-09-17,84.25
2019-09-18,84.95
2019-09-19,84.45
2019-09-20,84.7
2019-09-23,84.5
2019-09-24,84.65
2019-09-25,84.1
2019-09-26,84.3
2019-09-27,84.6
2019-10-01,85.95
2019-10-02,85.65
2019-10-03,84.8
2019-10-04,85.15
2019-10-07,85.45
2019-10-08,86.5
2019-10-09,85.8
2019-10-14,87.55
2019-10-15,87.7
2019-10-16,88.1
2019-10-17,88.15
2019-10-18,87.95
2019-10-21,87.85
2019-10-22,88.7
2019-10-23,88.45
2019-10-24,88.8
2019-10-25,88.8
2019-10-28,89.2
2019-10-29,89.45
2019-10-30,89.85
2019-10-31,90.1
2019-11-01,90.1
2019-11-04,92.2
2019-11-05,92.9
2019-11-06,93.35
2019-11-07,92.85
2019-11-08,92.55
2019-11-11,91.15
2019-11-12,92
2019-11-13,91.45
2019-11-14,91.4
2019-11-15,92.3
2019-11-18,92.9
2019-11-19,93.6
2019-11-20,93.25
2019-11-21,92.5
2019-11-22,92.55
2019-11-25,92.6
2019-11-26,92.85
2019-11-27,93.2
2019-11-28,92.95
2019-11-29,91.5
2019-12-02,92.05
2019-12-03,92.05
2019-12-04,91.7
2019-12-05,92.9
2019-12-06,93.05
2019-12-09,93.65
2019-12-10,93
2019-12-11,93.75
2019-12-12,95.85
2019-12-13,96.9
2019-12-16,96.85
2019-12-17,98.15
2019-12-18,98.2
2019-12-19,97.65
2019-12-20,96.95
2019-12-23,97.15
2019-12-24,97.2
2019-12-25,97.35
2019-12-26,97.35
2019-12-27,98
2019-12-30,97.8
